4763,Entertaining and interesting story that I enjoyed reading. One of many AT thru hike stories I have read and one of the top.,4.0
4764,"I have read this book twice now in the month that I have owned it. It's a deep, fiery, amazing love story that I know I will read again and again. You can relate to the characters and story line, i absolutely loved it. Especially since it doesn't follow the common stereotype of there having to be a feminine woman and a more masculine woman together to make it work. It's a beautiful novel and I am very happy I bought and have already gotten friends to buy and read it as well!",5.0
4765,"When I started this book the first time I couldn't get interested. Fast forward one month and several books later not only did I get interested, I couldn't put the book down. It's two stories: one past, one present; one necklace; timeless love.  One of the best books I've had the pleasure of curling up with in quite a while! I want to read more of Randy Mixter's work",5.0
4766,"365 draftHer name belies her heart.  Left alone with a grieving mother and a houseful of girls, Patience Creighton feels her strength and perseverance slowly ebbing away as she watches her mother shrink into a shadow of her former self and tries to keep the school her father founded running smoothly without help from her absentee brother, Rawdon.  When a visitor arrives, bloody and beaten, on her doorstep late one evening, Patience&#8217;s fragile world begins to crumble.  The man is the rakish William Sterling, owner of the property on which the school sits and the subject of several scandalous rumors that Patience has heard whispers of.  Despite her vague wariness about him, Patience finds herself strangely intrigued and is disappointed when he disappears back into the night.  Their paths are destined to cross again, however, for William has enemies that will stop at nothing - even placing young girls in danger - to take their revenge.  Rosemere is all that stands between him and ultimate destitution - or possibly death.  But when he finds himself likewise drawn to the young headmistress, will he sacrifice her happiness for his own salvation?A beautifully written novel and the second in her well-crafted series, The Headmistress of Rosemere was a delight to read.  With depth of character and plot, a bit of mystery and romance and an excellent moral theme, the book is sure to cement author Sarah Ladd&#8217;s reputation as a writer of stellar historic fiction.  She adds just the right amount of darkness and intrigue to keep the reader anticipating the next page and spices it up with a lovely romance that blossoms slowly and comes to beautiful fruition in the end.  Five stars.I received a copy of the book from the author in return for the above unbiased review.",5.0
4767,"I just became interested in reading again .  Why I chose this read, I haven't a clue!  I am so glad that I did!  It made my heart hurt so many times , but I loved the way it pulled me into a world I could never imagine living in.  Thanks for bringing me back to reading again and I hope many get the chance to enjoy the book.",5.0
4768,"I began reading this while I was reading another European World War II &#34;thriller.&#34; I immediately abandoned that book and finished this book, as it was much better written and more engaging. The point of view of an architect/artist in occupied Paris was intriguing, and the flawed main character who overcame his cultural bias -- even hatred-- of Jews in order to use his spatial ability to create cunning hiding places for them presented a fictional conundrum that kept me reading. Of course, the insights provided into the occupied, the occupiers, the Resistance, and the collaborators made for page-turning fodder. I'm a sucker for WWII spy/thriller novels, and this was a very good one.",4.0
4769,This was another awesome book. I'm sad that Tris and Four didn't get a happily ever after like I hoped. I did expect that ending though. Now I'm set to read her two follow up books. I'm curious to see what else Veronica Roth will write.,5.0
4770,This was seriously a great read and I could not put it downI read it in a few hours!,5.0
4771,MacAlister has outdone herself with this one. Laugh out loud funny. I can't wait to read the next one. Highly recommend.,5.0
4772,"It's been a good and interesting story this far. I read the first three in the series in about a week. Occasionally hard to follow the time change leap, but I figured it out eventually.",4.0
